Date,Open,High,Low,Close,Adj Close
2/8/2012,60450,60450,60450,60450,60450
2/9/2012,61962.5,66700,61962.5,62125,62125
2/10/2012,63612.5,63675,63612.5,63675,63675
2/13/2012,63675,63675,63675,63675,63675
2/14/2012,65775,66200,65775,66200,66200
2/15/2012,58887.5,61237.5,58887.5,61237.5,61237.5
2/16/2012,65887.5,70750,65887.5,70750,70750
2/17/2012,71012.5,76812.5,70662.5,75000,75000
2/21/2012,69637.5,69637.5,69637.5,69637.5,69637.5
2/22/2012,65850,65850,65850,65850,65850
2/23/2012,70700,70700,68362.5,68362.5,68362.5
2/24/2012,64937.5,64962.5,64475,64750,64750
2/27/2012,66400,66400,58737.5,58925,58925
2/28/2012,53275,54500,53275,53750,53750
2/29/2012,52562.5,58550,52562.5,58550,58550
3/1/2012,53100,53112.5,48550,48637.5,48637.5
3/2/2012,49662.5,50212.5,49025,49025,49025
3/5/2012,43587.5,44012.5,42187.5,42362.5,42362.5
3/6/2012,43625,43625,41937.5,41937.5,41937.5
3/7/2012,38337.5,40075,38337.5,40075,40075
3/8/2012,39000,39037.5,36250,39037.5,39037.5
3/9/2012,43062.5,43062.5,37987.5,40337.5,40337.5
3/12/2012,37262.5,37437.5,35962.5,37250,37250
3/13/2012,36087.5,41700,35200,40300,40300
3/14/2012,40300,41050,38750,39387.5,39387.5
3/15/2012,38550,41362.5,38550,38650,38650
3/16/2012,40775,41362.5,40375,41175,41175
3/19/2012,39862.5,42550,39862.5,41850,41850
3/20/2012,41125,41875,40912.5,40912.5,40912.5
3/21/2012,39612.5,40962.5,39212.5,40812.5,40812.5
3/22/2012,40250,40250,36875,36900,36900
3/23/2012,39375,39387.5,37062.5,37312.5,37312.5
3/26/2012,35225,35937.5,34287.5,34287.5,34287.5
3/27/2012,33462.5,33575,32812.5,33575,33575
3/28/2012,33012.5,33962.5,32325,32937.5,32937.5
3/29/2012,31537.5,31537.5,26662.5,27562.5,27562.5
3/30/2012,27587.5,27587.5,26150,26150,26150
4/2/2012,25212.5,27750,25212.5,27400,27400
4/3/2012,27537.5,29187.5,27500,28150,28150
4/4/2012,28062.5,28862.5,26612.5,26700,26700
4/5/2012,26450,26450,24662.5,24962.5,24962.5
4/9/2012,25275,25812.5,24825,25812.5,25812.5
4/10/2012,24425,24425,22750,22750,22750
4/11/2012,23000,23162.5,21250,21312.5,21312.5
4/12/2012,21225,23050,20875,21212.5,21212.5
4/13/2012,21362.5,21375,20725,21175,21175
4/16/2012,21625,22637.5,20987.5,21637.5,21637.5
4/17/2012,20837.5,20900,19837.5,19837.5,19837.5
4/18/2012,20162.5,20525,19537.5,19537.5,19537.5
4/19/2012,19300,19312.5,18250,18300,18300
4/20/2012,18500,18875,18287.5,18725,18725
4/23/2012,19462.5,21600,19225,21525,21525
4/24/2012,20975,21075,19862.5,20162.5,20162.5
4/25/2012,21500,23837.5,20762.5,23412.5,23412.5
4/26/2012,24837.5,26887.5,21662.5,21825,21825
4/27/2012,22612.5,23950,22462.5,23950,23950
4/30/2012,22837.5,27187.5,22800,27050,27050
5/1/2012,28125,30037.5,27262.5,29550,29550
5/2/2012,28925,28937.5,25025,25700,25700
5/3/2012,27587.5,29612.5,27362.5,28150,28150
5/4/2012,26587.5,27200,25625,26537.5,26537.5
5/7/2012,27912.5,28175,27175,28037.5,28037.5
5/8/2012,26150,34000,26100,31962.5,31962.5
5/9/2012,31362.5,34375,31187.5,32425,32425
5/10/2012,32862.5,34887.5,30800,33062.5,33062.5
5/11/2012,33125,34525,32437.5,34175,34175
5/14/2012,32912.5,33137.5,30637.5,30750,30750
5/15/2012,33125,33725,32062.5,33600,33600
5/16/2012,34987.5,38737.5,34987.5,38737.5,38737.5
5/17/2012,37350,40437.5,33675,39412.5,39412.5
5/18/2012,39975,44362.5,39875,42475,42475
5/21/2012,39912.5,40587.5,36725,37900,37900
5/22/2012,39625,42037.5,39525,40537.5,40537.5
5/23/2012,39275,42387.5,38825,41637.5,41637.5
5/24/2012,41662.5,42187.5,37512.5,38000,38000
5/25/2012,36237.5,36437.5,32950,34162.5,34162.5
5/29/2012,33200,33937.5,28687.5,29525,29525
5/30/2012,27687.5,28300,26050,27100,27100
5/31/2012,26062.5,29312.5,25887.5,26525,26525
6/1/2012,25000,25100,23337.5,23700,23700
6/4/2012,25550,26912.5,25062.5,26912.5,26912.5
6/5/2012,28237.5,28262.5,26525,26862.5,26862.5
